Coding,Value,Meaning
1,1,Yes
2,0,Other job (free text entry)
2,1,Managers and Senior Officials
2,11,Corporate Managers
2,111,Corporate Managers And Senior Officials
2,1111,Senior officials in national government
2,1111001,AM (National Assembly)
2,1111002,Ambassador (Foreign and Commonwealth Office)
2,1111003,Band 0 (Health and Safety Executive)
2,1111004,Band 1B (Meteorological Office)
2,1111005,Band 1C (Meteorological Office)
2,1111006,Clerk to the commissioners (Inland Revenue)
2,1111007,Commissioner (government)
2,1111008,Diplomat
2,1111009,"Director, deputy (government)"
2,1111010,"Director, group (government)"
2,1111011,Grade 1 (Foreign and Commonwealth Office)
2,1111012,Grade 1 (government)
2,1111013,Grade 2 (Foreign and Commonwealth Office)
2,1111014,Grade 2 (government)
2,1111015,Grade 3 (Foreign and Commonwealth Office)
2,1111016,Grade 3 (government)
2,1111017,Grade 4 (Foreign and Commonwealth Office)
2,1111018,Grade 5 (Foreign and Commonwealth Office)
2,1111019,Grade 5 (government)
2,1111020,MEP
2,1111021,MP
2,1111022,MSP
2,1111023,Member of European Parliament
2,1111024,Member of Parliament
2,1111025,Member of Scottish Parliament
2,1111026,"Member, assembly (National Assembly)"
2,1111027,Minister (government)
2,1111028,Secretary of state
2,1111029,"Secretary, assistant (government)"
2,1111030,"Secretary, deputy (government)"
2,1111031,"Secretary, first"
2,1111032,"Secretary, parliamentary"
2,1111033,"Secretary, permanent (government)"
2,1111034,"Secretary, private, parliamentary"
2,1111035,"Secretary, second"
2,1111036,"Secretary, under (government)"
2,1111037,"Servant, civil (grade 5 and above)"
2,1111038,"Servant, civil (assistant secretary and above)"
2,1112,Directors and chief executives of major organisations
2,1112001,Chairman (major organisation)
2,1112002,"Chairman, company (major organisation)"
2,1112003,Director (major organisation)
2,1112004,"Director, company (major organisation)"
2,1112005,"Director, managing (major organisation)"
2,1112006,"Executive, chief (major organisation)"
2,1112007,"Manager, general (major organisation)"
2,1112008,President
2,1112009,"President, company"
2,1112010,"President, vice"
2,1113,Senior officials in local government
2,1113001,Clerk of the council
